exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,17.0
anvil,1.0,20.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
axe,1.0,1.0,20.0,3.0,1.0,9.0,3.0,3.0,2.0,1.0,7.0,9.0,15.0,1.0,1.0,1.0,1.0,1.0,16.0,,1.0,1.0,15.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0
chisel,4.0,1.0,3.0,20.0,4.0,16.0,12.0,7.0,16.0,9.0,1.0,4.0,9.0,1.0,1.0,8.0,1.0,1.0,1.0,,1.0,1.0,1.0,12.0,3.0,1.0,1.0,1.0,1.0,2.0
clamp,1.0,3.0,1.0,4.0,20.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,,1.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
crowbar (breekijzer),1.0,1.0,9.0,16.0,3.0,20.0,17.0,1.0,4.0,1.0,6.0,7.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,,6.0,1.0,3.0,7.0,2.0,1.0,1.0,1.0,4.0,3.0
crowbar (koevoet),2.0,1.0,3.0,12.0,1.0,17.0,20.0,4.0,2.0,2.0,5.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,,10.0,1.0,10.0,1.0,6.0,4.0,1.0,1.0,1.0,2.0
drill,1.0,1.0,3.0,7.0,3.0,1.0,4.0,20.0,6.0,1.0,15.0,1.0,2.0,8.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,6.0,1.0,1.0,1.0,3.0,4.0,1.0
file,1.0,1.0,2.0,16.0,1.0,4.0,2.0,6.0,20.0,6.0,14.0,4.0,4.0,1.0,1.0,9.0,1.0,1.0,1.0,,1.0,1.0,6.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0
filling knife,1.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,6.0,20.0,1.0,3.0,18.0,1.0,1.0,1.0,1.0,3.0,3.0,,1.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0
