exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,5.0,3.0,5.0,2.0,10.0,10.0,5.0,6.0,7.0,3.0,9.0,7.0,1.0,5.0,10.0,2.0,5.0,5.0,6.0,3.0,5.0,3.0,7.0,3.0,17.0,1.0,2.0,10.0,15.0
anvil,5.0,20.0,6.0,4.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,4.0,6.0,1.0,4.0,3.0,1.0,3.0,4.0,6.0,2.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,4.0,3.0
axe,3.0,6.0,20.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,8.0,10.0,4.0,2.0,3.0,1.0,5.0,14.0,3.0,4.0,4.0,5.0,6.0,3.0,4.0,1.0,1.0,3.0,3.0
chisel,5.0,4.0,5.0,20.0,2.0,5.0,4.0,3.0,13.0,12.0,3.0,6.0,12.0,3.0,5.0,12.0,2.0,12.0,5.0,6.0,3.0,2.0,4.0,6.0,5.0,7.0,1.0,1.0,12.0,8.0
clamp,2.0,2.0,4.0,2.0,20.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,10.0,1.0,2.0,1.0,2.0
crowbar (breekijzer),10.0,3.0,4.0,5.0,3.0,20.0,7.0,3.0,6.0,4.0,5.0,6.0,15.0,3.0,5.0,4.0,2.0,4.0,3.0,7.0,3.0,1.0,5.0,9.0,5.0,6.0,1.0,2.0,5.0,5.0
crowbar (koevoet),10.0,4.0,4.0,4.0,4.0,7.0,20.0,6.0,4.0,7.0,2.0,7.0,8.0,2.0,4.0,7.0,2.0,4.0,6.0,5.0,3.0,2.0,7.0,4.0,4.0,12.0,1.0,2.0,11.0,11.0
drill,5.0,1.0,2.0,3.0,3.0,3.0,6.0,20.0,5.0,4.0,5.0,3.0,3.0,6.0,3.0,5.0,3.0,2.0,6.0,3.0,5.0,2.0,3.0,13.0,3.0,4.0,2.0,2.0,6.0,3.0
file,6.0,3.0,4.0,13.0,3.0,6.0,4.0,5.0,20.0,12.0,6.0,4.0,14.0,3.0,6.0,10.0,2.0,4.0,4.0,15.0,3.0,1.0,6.0,5.0,7.0,4.0,1.0,2.0,7.0,4.0
filling knife,7.0,2.0,3.0,12.0,3.0,4.0,7.0,4.0,12.0,20.0,5.0,5.0,15.0,4.0,5.0,5.0,2.0,6.0,4.0,10.0,2.0,1.0,8.0,7.0,5.0,5.0,1.0,2.0,6.0,9.0
grinding disc,3.0,2.0,4.0,3.0,3.0,5.0,2.0,5.0,6.0,5.0,20.0,4.0,8.0,5.0,4.0,2.0,1.0,1.0,3.0,12.0,4.0,2.0,12.0,5.0,5.0,2.0,1.0,3.0,3.0,4.0
hammer,9.0,4.0,8.0,6.0,3.0,6.0,7.0,3.0,4.0,5.0,4.0,20.0,5.0,2.0,4.0,4.0,3.0,3.0,8.0,3.0,4.0,1.0,3.0,5.0,4.0,4.0,1.0,2.0,5.0,4.0
