exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,2.0,7.0,12.0,10.0,12.0,10.0,8.0,8.0,7.0,7.0,9.0,5.0,4.0,2.0,8.0,8.0,7.0,11.0,5.0,8.0,4.0,9.0,11.0,11.0,10.0,11.0,10.0,13.0,10.0
anvil,2.0,20.0,2.0,11.0,8.0,8.0,9.0,5.0,6.0,6.0,9.0,6.0,8.0,12.0,2.0,5.0,8.0,6.0,9.0,8.0,8.0,11.0,7.0,7.0,7.0,11.0,8.0,7.0,12.0,6.0
axe,7.0,2.0,20.0,12.0,10.0,7.0,7.0,8.0,18.0,7.0,11.0,8.0,13.0,5.0,8.0,8.0,10.0,9.0,7.0,9.0,8.0,8.0,10.0,5.0,8.0,12.0,11.0,4.0,11.0,3.0
chisel,12.0,11.0,12.0,20.0,10.0,9.0,8.0,8.0,12.0,14.0,8.0,8.0,7.0,11.0,12.0,4.0,8.0,7.0,8.0,9.0,5.0,6.0,9.0,11.0,8.0,10.0,6.0,10.0,8.0,8.0
clamp,10.0,8.0,10.0,10.0,20.0,14.0,7.0,8.0,8.0,7.0,10.0,10.0,11.0,5.0,6.0,10.0,9.0,11.0,12.0,8.0,8.0,12.0,2.0,5.0,7.0,10.0,3.0,8.0,16.0,6.0
crowbar (breekijzer),12.0,8.0,7.0,9.0,14.0,20.0,18.0,9.0,9.0,10.0,10.0,7.0,7.0,7.0,10.0,14.0,7.0,2.0,8.0,8.0,11.0,8.0,6.0,9.0,9.0,16.0,7.0,9.0,5.0,5.0
crowbar (koevoet),10.0,9.0,7.0,8.0,7.0,18.0,20.0,8.0,3.0,7.0,5.0,10.0,8.0,8.0,4.0,7.0,7.0,5.0,6.0,7.0,10.0,8.0,10.0,11.0,8.0,15.0,11.0,7.0,9.0,4.0
drill,8.0,5.0,8.0,8.0,8.0,9.0,8.0,20.0,8.0,9.0,7.0,8.0,10.0,7.0,7.0,8.0,8.0,6.0,11.0,9.0,7.0,6.0,8.0,8.0,8.0,6.0,10.0,2.0,2.0,10.0
file,8.0,6.0,18.0,12.0,8.0,9.0,3.0,8.0,20.0,12.0,12.0,9.0,12.0,8.0,9.0,10.0,8.0,9.0,11.0,6.0,11.0,8.0,3.0,12.0,11.0,7.0,8.0,8.0,15.0,4.0
filling knife,7.0,6.0,7.0,14.0,7.0,10.0,7.0,9.0,12.0,20.0,11.0,7.0,8.0,2.0,10.0,8.0,17.0,4.0,10.0,4.0,7.0,7.0,8.0,11.0,5.0,12.0,6.0,15.0,12.0,7.0
grinding disc,7.0,9.0,11.0,8.0,10.0,10.0,5.0,7.0,12.0,11.0,20.0,12.0,11.0,12.0,11.0,10.0,5.0,7.0,10.0,8.0,7.0,7.0,10.0,10.0,8.0,8.0,7.0,8.0,11.0,9.0
hammer,9.0,6.0,8.0,8.0,10.0,7.0,10.0,8.0,9.0,7.0,12.0,20.0,11.0,8.0,10.0,8.0,7.0,10.0,7.0,8.0,8.0,3.0,12.0,12.0,7.0,16.0,8.0,5.0,8.0,8.0
knife,5.0,8.0,13.0,7.0,11.0,7.0,8.0,10.0,12.0,8.0,11.0,11.0,20.0,8.0,6.0,9.0,5.0,5.0,11.0,12.0,8.0,3.0,10.0,12.0,9.0,6.0,3.0,8.0,9.0,10.0
lawn mower,4.0,12.0,5.0,11.0,5.0,7.0,8.0,7.0,8.0,2.0,12.0,8.0,8.0,20.0,4.0,2.0,2.0,4.0,8.0,10.0,10.0,8.0,4.0,12.0,8.0,8.0,10.0,11.0,10.0,8.0
level,2.0,2.0,8.0,12.0,6.0,10.0,4.0,7.0,9.0,10.0,11.0,10.0,6.0,4.0,20.0,12.0,4.0,11.0,11.0,4.0,11.0,5.0,8.0,11.0,7.0,4.0,11.0,4.0,5.0,6.0
nail,8.0,5.0,8.0,4.0,10.0,14.0,7.0,8.0,10.0,8.0,10.0,8.0,9.0,2.0,12.0,20.0,8.0,8.0,9.0,12.0,2.0,10.0,8.0,12.0,11.0,6.0,8.0,4.0,12.0,9.0
oil can,8.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,8.0,17.0,5.0,7.0,5.0,2.0,4.0,8.0,20.0,15.0,6.0,8.0,14.0,8.0,8.0,9.0,10.0,10.0,8.0,2.0,8.0,7.0
paint brush,7.0,6.0,9.0,7.0,11.0,2.0,5.0,6.0,9.0,4.0,7.0,10.0,5.0,4.0,11.0,8.0,15.0,20.0,5.0,8.0,4.0,8.0,9.0,10.0,10.0,6.0,8.0,7.0,14.0,4.0
pickaxe,11.0,9.0,7.0,8.0,12.0,8.0,6.0,11.0,11.0,10.0,10.0,7.0,11.0,8.0,11.0,9.0,6.0,5.0,20.0,12.0,11.0,9.0,8.0,10.0,10.0,7.0,10.0,10.0,10.0,16.0
plane,5.0,8.0,9.0,9.0,8.0,8.0,7.0,9.0,6.0,4.0,8.0,8.0,12.0,10.0,4.0,12.0,8.0,8.0,12.0,20.0,12.0,8.0,12.0,8.0,7.0,8.0,7.0,10.0,4.0,4.0
plough,8.0,8.0,8.0,5.0,8.0,11.0,10.0,7.0,11.0,7.0,7.0,8.0,8.0,10.0,11.0,2.0,14.0,4.0,11.0,12.0,20.0,8.0,10.0,12.0,10.0,13.0,10.0,9.0,7.0,12.0
rope,4.0,11.0,8.0,6.0,12.0,8.0,8.0,6.0,8.0,7.0,7.0,3.0,3.0,8.0,5.0,10.0,8.0,8.0,9.0,8.0,8.0,20.0,9.0,8.0,2.0,9.0,6.0,7.0,7.0,9.0
saw,9.0,7.0,10.0,9.0,2.0,6.0,10.0,8.0,3.0,8.0,10.0,12.0,10.0,4.0,8.0,8.0,8.0,9.0,8.0,12.0,10.0,9.0,20.0,9.0,6.0,11.0,8.0,12.0,9.0,5.0
screwdriver,11.0,7.0,5.0,11.0,5.0,9.0,11.0,8.0,12.0,11.0,10.0,12.0,12.0,12.0,11.0,12.0,9.0,10.0,10.0,8.0,12.0,8.0,9.0,20.0,8.0,11.0,10.0,8.0,10.0,11.0
shovel,11.0,7.0,8.0,8.0,7.0,9.0,8.0,8.0,11.0,5.0,8.0,7.0,9.0,8.0,7.0,11.0,10.0,10.0,10.0,7.0,10.0,2.0,6.0,8.0,20.0,7.0,7.0,4.0,9.0,10.0
tongs,10.0,11.0,12.0,10.0,10.0,16.0,15.0,6.0,7.0,12.0,8.0,16.0,6.0,8.0,4.0,6.0,10.0,6.0,7.0,8.0,13.0,9.0,11.0,11.0,7.0,20.0,7.0,1.0,11.0,8.0
