exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,1.0,0.2733333333333333,0.36333333333333334,0.3433333333333333,0.2633333333333333,0.2733333333333333,0.2566666666666667,0.2033333333333333,0.4033333333333333,0.30333333333333334,0.3,0.36666666666666664,0.2566666666666667,0.2733333333333333,0.22999999999999998,0.24,0.23666666666666666,0.33333333333333337,0.2033333333333333,0.33333333333333337,0.21333333333333332,0.31,0.19333333333333333,0.62,0.26,0.22999999999999998,0.5966666666666667,0.7,0.5,0.24
ballet,0.2733333333333333,1.0,0.17333333333333334,0.17333333333333334,0.23666666666666666,0.23666666666666666,0.32333333333333336,0.21333333333333332,0.2533333333333333,0.21666666666666665,0.7733333333333333,0.2633333333333333,0.2866666666666667,0.19,0.29333333333333333,0.29,0.18,0.23333333333333334,0.21333333333333332,0.16999999999999998,0.22999999999999998,0.21000000000000002,0.22666666666666666,0.18333333333333332,0.25,0.3066666666666667,0.24666666666666667,0.24333333333333332,0.25,0.3
baseball,0.36333333333333334,0.17333333333333334,1.0,0.45999999999999996,0.23666666666666666,0.36,0.19666666666666666,0.2533333333333333,0.24333333333333332,0.32666666666666666,0.2733333333333333,0.4133333333333334,0.19666666666666666,0.35333333333333333,0.3,0.26666666666666666,0.6033333333333333,0.4333333333333333,0.22666666666666666,0.4666666666666667,0.18666666666666668,0.4533333333333333,0.14333333333333334,0.48666666666666664,0.22666666666666666,0.18666666666666668,0.24,0.42000000000000004,0.4166666666666667,0.21333333333333332
basketball,0.3433333333333333,0.17333333333333334,0.45999999999999996,1.0,0.22666666666666666,0.4033333333333333,0.16999999999999998,0.29333333333333333,0.23666666666666666,0.29333333333333333,0.25,0.62,0.2066666666666667,0.32666666666666666,0.2633333333333333,0.2733333333333333,0.42000000000000004,0.43,0.21000000000000002,0.4066666666666666,0.2066666666666667,0.5,0.13,0.36333333333333334,0.27,0.21333333333333332,0.23333333333333334,0.33333333333333337,0.5166666666666667,0.29
billiards,0.2633333333333333,0.23666666666666666,0.23666666666666666,0.22666666666666666,1.0,0.23333333333333334,0.44000000000000006,0.21666666666666665,0.2533333333333333,0.5,0.17333333333333334,0.24,0.18333333333333332,0.27,0.19666666666666666,0.16999999999999998,0.18333333333333332,0.12666666666666665,0.18333333333333332,0.38666666666666666,0.17666666666666667,0.2633333333333333,0.3066666666666667,0.2566666666666667,0.22666666666666666,0.22333333333333333,0.38333333333333336,0.24333333333333332,0.19666666666666666,0.31333333333333335
boxing,0.2733333333333333,0.23666666666666666,0.36,0.4033333333333333,0.23333333333333334,1.0,0.16,0.22999999999999998,0.5133333333333334,0.2066666666666667,0.2533333333333333,0.3433333333333333,0.22000000000000003,0.33666666666666667,0.48,0.2966666666666667,0.58,0.32666666666666666,0.17333333333333334,0.36666666666666664,0.21666666666666665,0.31,0.2,0.31666666666666665,0.22333333333333333,0.2066666666666667,0.2833333333333333,0.31333333333333335,0.2833333333333333,0.2566666666666667
chess,0.2566666666666667,0.32333333333333336,0.19666666666666666,0.16999999999999998,0.44000000000000006,0.16,1.0,0.16333333333333333,0.24666666666666667,0.33333333333333337,0.16999999999999998,0.18666666666666668,0.2033333333333333,0.14333333333333334,0.19,0.16,0.18333333333333332,0.16,0.2,0.13,0.14666666666666667,0.19666666666666666,0.2833333333333333,0.18666666666666668,0.14333333333333334,0.16999999999999998,0.2733333333333333,0.22999999999999998,0.17333333333333334,0.3466666666666667
cycling,0.2033333333333333,0.21333333333333332,0.2533333333333333,0.29333333333333333,0.21666666666666665,0.22999999999999998,0.16333333333333333,1.0,0.19666666666666666,0.19,0.23666666666666666,0.24666666666666667,0.2533333333333333,0.27666666666666667,0.2066666666666667,0.29333333333333333,0.24333333333333332,0.4166666666666667,0.22333333333333333,0.19,0.2866666666666667,0.2833333333333333,0.22999999999999998,0.2066666666666667,0.19666666666666666,0.2733333333333333,0.2,0.2566666666666667,0.2633333333333333,0.36666666666666664
fencing,0.4033333333333333,0.2533333333333333,0.24333333333333332,0.23666666666666666,0.2533333333333333,0.5133333333333334,0.24666666666666667,0.19666666666666666,1.0,0.22666666666666666,0.2966666666666667,0.27,0.2,0.31666666666666665,0.3433333333333333,0.26666666666666666,0.3,0.2866666666666667,0.29,0.26,0.2066666666666667,0.21333333333333332,0.22999999999999998,0.32666666666666666,0.26666666666666666,0.22000000000000003,0.2966666666666667,0.33999999999999997,0.27,0.2533333333333333
golfing,0.30333333333333334,0.21666666666666665,0.32666666666666666,0.29333333333333333,0.5,0.2066666666666667,0.33333333333333337,0.19,0.22666666666666666,1.0,0.27999999999999997,0.2733333333333333,0.22999999999999998,0.45,0.2,0.26,0.2066666666666667,0.19666666666666666,0.29333333333333333,0.33333333333333337,0.19666666666666666,0.2866666666666667,0.27,0.4033333333333333,0.23666666666666666,0.2066666666666667,0.3566666666666667,0.39,0.24,0.4333333333333333
gymnastics,0.3,0.7733333333333333,0.2733333333333333,0.25,0.17333333333333334,0.2533333333333333,0.16999999999999998,0.23666666666666666,0.2966666666666667,0.27999999999999997,1.0,0.24,0.27666666666666667,0.22666666666666666,0.42000000000000004,0.4533333333333333,0.23666666666666666,0.3566666666666667,0.21000000000000002,0.24333333333333332,0.29333333333333333,0.26,0.17666666666666667,0.2966666666666667,0.27,0.39,0.22000000000000003,0.27999999999999997,0.29333333333333333,0.36
handball,0.36666666666666664,0.2633333333333333,0.4133333333333334,0.62,0.24,0.3433333333333333,0.18666666666666668,0.24666666666666667,0.27,0.2733333333333333,0.24,1.0,0.18333333333333332,0.32333333333333336,0.2733333333333333,0.31,0.4966666666666667,0.33333333333333337,0.22333333333333333,0.4,0.22999999999999998,0.5933333333333334,0.15333333333333335,0.4033333333333333,0.26666666666666666,0.27,0.31666666666666665,0.38,0.6466666666666667,0.2833333333333333
horseback riding,0.2566666666666667,0.2866666666666667,0.19666666666666666,0.2066666666666667,0.18333333333333332,0.22000000000000003,0.2033333333333333,0.2533333333333333,0.2,0.22999999999999998,0.27666666666666667,0.18333333333333332,1.0,0.19333333333333333,0.22999999999999998,0.27666666666666667,0.21000000000000002,0.38666666666666666,0.2966666666666667,0.21000000000000002,0.2866666666666667,0.23666666666666666,0.2033333333333333,0.22333333333333333,0.21333333333333332,0.22333333333333333,0.19333333333333333,0.23333333333333334,0.18333333333333332,0.31666666666666665
ice hockey,0.2733333333333333,0.19,0.35333333333333333,0.32666666666666666,0.27,0.33666666666666667,0.14333333333333334,0.27666666666666667,0.31666666666666665,0.45,0.22666666666666666,0.32333333333333336,0.19333333333333333,1.0,0.31,0.23666666666666666,0.48,0.31,0.22999999999999998,0.24,0.45666666666666667,0.4066666666666666,0.18333333333333332,0.35,0.27,0.24333333333333332,0.25,0.30333333333333334,0.32999999999999996,0.21666666666666665
judo,0.22999999999999998,0.29333333333333333,0.3,0.2633333333333333,0.19666666666666666,0.48,0.19,0.2066666666666667,0.3433333333333333,0.2,0.42000000000000004,0.2733333333333333,0.22999999999999998,0.31,1.0,0.29,0.45,0.2866666666666667,0.24,0.24666666666666667,0.23333333333333334,0.2833333333333333,0.18333333333333332,0.31,0.22000000000000003,0.18,0.25,0.31,0.25,0.23666666666666666
long jump,0.24,0.29,0.26666666666666666,0.2733333333333333,0.16999999999999998,0.2966666666666667,0.16,0.29333333333333333,0.26666666666666666,0.26,0.4533333333333333,0.31,0.27666666666666667,0.23666666666666666,0.29,1.0,0.31333333333333335,0.5366666666666666,0.19,0.39,0.26666666666666666,0.4,0.22333333333333333,0.3433333333333333,0.2566666666666667,0.22999999999999998,0.24,0.31333333333333335,0.23333333333333334,0.4066666666666666
