exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
ansjovis,1.0,8.0,9.0,4.0,8.0,11.0,15.0,7.0,11.0,16.0,8.0,14.0,18.0,18.0,20.0,10.0,21.0,10.0,5.0,18.0
dolfijn,21.0,20.0,22.0,17.0,18.0,22.0,19.0,17.0,23.0,23.0,23.0,19.0,22.0,3.0,23.0,23.0,23.0,20.0,23.0,23.0
forel,5.0,3.0,4.0,10.0,6.0,16.0,2.0,2.0,6.0,6.0,3.0,4.0,7.0,6.0,15.0,8.0,3.0,6.0,13.0,5.0
goudvis,10.0,5.0,1.0,1.0,1.0,1.0,16.0,11.0,5.0,2.0,1.0,1.0,13.0,2.0,1.0,5.0,1.0,4.0,4.0,1.0
haai,17.0,17.0,20.0,20.0,17.0,24.0,20.0,19.0,21.0,14.0,13.0,20.0,11.0,10.0,17.0,15.0,18.0,15.0,18.0,19.0
haring,6.0,4.0,5.0,9.0,14.0,7.0,17.0,4.0,7.0,8.0,9.0,5.0,3.0,20.0,9.0,4.0,7.0,9.0,19.0,15.0
inktvis,22.0,23.0,18.0,16.0,15.0,17.0,12.0,10.0,18.0,13.0,18.0,23.0,15.0,21.0,8.0,22.0,20.0,,17.0,12.0
kabeljauw,7.0,1.0,3.0,15.0,3.0,12.0,6.0,1.0,1.0,1.0,5.0,2.0,1.0,11.0,7.0,9.0,12.0,3.0,3.0,4.0
karper,12.0,6.0,15.0,14.0,22.0,14.0,8.0,13.0,10.0,12.0,12.0,8.0,8.0,16.0,5.0,2.0,4.0,1.0,12.0,9.0
orka,16.0,22.0,19.0,21.0,16.0,23.0,21.0,21.0,22.0,22.0,26.0,21.0,16.0,4.0,18.0,19.0,17.0,17.0,20.0,22.0
paling,8.0,9.0,16.0,5.0,4.0,6.0,10.0,3.0,16.0,11.0,6.0,6.0,2.0,9.0,4.0,21.0,19.0,11.0,16.0,8.0
piranha,20.0,12.0,23.0,12.0,21.0,19.0,14.0,15.0,14.0,15.0,17.0,16.0,23.0,17.0,14.0,14.0,5.0,12.0,10.0,14.0
pladijs,11.0,7.0,13.0,13.0,11.0,18.0,7.0,14.0,9.0,9.0,10.0,11.0,5.0,7.0,16.0,13.0,15.0,,8.0,10.0
platvis,19.0,14.0,14.0,,10.0,2.0,11.0,9.0,15.0,19.0,16.0,13.0,21.0,22.0,10.0,12.0,8.0,,7.0,17.0
potvis,14.0,19.0,12.0,19.0,13.0,3.0,22.0,18.0,19.0,20.0,20.0,18.0,20.0,14.0,13.0,18.0,10.0,19.0,22.0,20.0
rog,9.0,16.0,7.0,7.0,12.0,8.0,5.0,12.0,12.0,5.0,15.0,12.0,14.0,12.0,11.0,16.0,11.0,14.0,15.0,13.0
sardine,13.0,11.0,8.0,11.0,9.0,13.0,1.0,8.0,8.0,10.0,7.0,15.0,10.0,23.0,12.0,1.0,22.0,13.0,11.0,11.0
snoek,2.0,13.0,10.0,6.0,5.0,5.0,9.0,22.0,2.0,7.0,4.0,7.0,9.0,15.0,6.0,3.0,6.0,2.0,2.0,7.0
stekelbaars,20.0,15.0,11.0,8.0,23.0,15.0,,20.0,17.0,18.0,19.0,9.0,17.0,19.0,21.0,11.0,13.0,5.0,14.0,6.0
tong,3.0,10.0,6.0,3.0,7.0,9.0,3.0,5.0,4.0,3.0,11.0,10.0,4.0,8.0,3.0,6.0,16.0,8.0,9.0,3.0
walvis,15.0,21.0,21.0,18.0,19.0,21.0,18.0,16.0,20.0,21.0,22.0,22.0,12.0,5.0,19.0,20.0,16.0,16.0,21.0,21.0
zalm,4.0,2.0,2.0,2.0,2.0,10.0,7.0,6.0,3.0,4.0,2.0,3.0,6.0,1.0,2.0,7.0,2.0,7.0,1.0,2.0
zwaardvis,18.0,18.0,17.0,,20.0,20.0,13.0,23.0,13.0,17.0,14.0,17.0,19.0,13.0,22.0,17.0,9.0,18.0,6.0,16.0
