exemplar,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screw wrench (engelse sleutel),screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
anvil,20.0,3.0,2.0,,1.0,,2.0,,,,11.0,,1.0,,,,,,,,,,3.0,,,,,,,
axe,3.0,20.0,15.0,,15.0,,5.0,,,,12.0,,3.0,,,,,,,,,,2.0,,,,,,,
chisel,2.0,15.0,20.0,,13.0,,12.0,,,,6.0,,2.0,,,,,,,,,,15.0,,,,,,,
clamp,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
crowbar (breekijzer),1.0,15.0,13.0,,20.0,,2.0,,,,5.0,,2.0,,,,,,,,,,15.0,,,,,,,
crowbar (koevoet),,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,
drill,2.0,5.0,12.0,,2.0,,20.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,
file,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
filling knife,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,
grinding disc,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
hammer,11.0,12.0,6.0,,5.0,,1.0,,,,20.0,,2.0,,,,,,,,,,1.0,,,,,,,
knife,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
lawn mower,1.0,3.0,2.0,,2.0,,1.0,,,,2.0,,20.0,,,,,,,,,,1.0,,,,,,,
level,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
nail,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
oil can,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
paint brush,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
pickaxe,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
plane,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
plough,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
rope,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
saw,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
screw wrench (engelse sleutel),3.0,2.0,15.0,,15.0,,1.0,,,,1.0,,1.0,,,,,,,,,,20.0,,,,,,,
screwdriver,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
shovel,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
tongs,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
vacuum cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
wheelbarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
wire brush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
wrench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
