exemplar,Brussels sprouts,asparagus,beans,beet,black salsify,carrot,cauliflower,celery,chervil,corn,cucumber,eggplant,endive,garlic,gherkins,leek,lettuce,mushrooms,onions,parsley,peas,pepper,potato,radish,red cabbage,spinach,tomato,water cress,white cabbage,zucchini
Brussels sprouts,20.0,2.0,4.0,7.0,,4.0,6.0,5.0,4.0,2.0,4.0,5.0,6.0,4.0,7.0,4.0,5.0,3.0,6.0,6.0,12.0,3.0,8.0,6.0,8.0,4.0,5.0,2.0,7.0,4.0
asparagus,2.0,20.0,15.0,5.0,,9.0,4.0,4.0,4.0,6.0,12.0,8.0,7.0,3.0,11.0,13.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,13.0,3.0,14.0
beans,4.0,15.0,20.0,4.0,,6.0,4.0,6.0,2.0,10.0,10.0,4.0,4.0,4.0,14.0,6.0,5.0,4.0,2.0,3.0,16.0,4.0,2.0,4.0,5.0,6.0,4.0,3.0,3.0,14.0
beet,7.0,5.0,4.0,20.0,,4.0,15.0,2.0,1.0,5.0,5.0,6.0,6.0,3.0,5.0,5.0,4.0,1.0,5.0,3.0,3.0,5.0,10.0,12.0,13.0,3.0,9.0,2.0,14.0,6.0
black salsify,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
carrot,4.0,9.0,6.0,4.0,,20.0,3.0,5.0,5.0,5.0,7.0,4.0,2.0,3.0,7.0,6.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,6.0,4.0,3.0,3.0,2.0,2.0,6.0
cauliflower,6.0,4.0,4.0,15.0,,3.0,20.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0,5.0,2.0,4.0,3.0,2.0,6.0,4.0,4.0,14.0,9.0,4.0,1.0,15.0,1.0
celery,5.0,4.0,6.0,2.0,,5.0,5.0,20.0,13.0,6.0,11.0,1.0,6.0,2.0,5.0,7.0,5.0,2.0,4.0,7.0,3.0,7.0,4.0,8.0,2.0,7.0,3.0,2.0,4.0,5.0
chervil,4.0,4.0,2.0,1.0,,5.0,4.0,13.0,20.0,4.0,6.0,3.0,2.0,3.0,5.0,5.0,5.0,2.0,2.0,15.0,5.0,3.0,2.0,4.0,2.0,6.0,7.0,6.0,3.0,2.0
corn,2.0,6.0,10.0,5.0,,5.0,5.0,6.0,4.0,20.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,18.0,6.0,8.0,5.0,2.0,6.0,4.0,2.0,5.0,4.0
cucumber,4.0,12.0,10.0,5.0,,7.0,4.0,11.0,6.0,2.0,20.0,17.0,5.0,3.0,15.0,11.0,3.0,3.0,7.0,5.0,4.0,4.0,6.0,2.0,4.0,3.0,4.0,4.0,13.0,17.0
eggplant,5.0,8.0,4.0,6.0,,4.0,5.0,1.0,3.0,5.0,17.0,20.0,6.0,4.0,7.0,2.0,4.0,1.0,4.0,2.0,4.0,5.0,11.0,6.0,2.0,4.0,4.0,3.0,5.0,7.0
endive,6.0,7.0,4.0,6.0,,2.0,4.0,6.0,2.0,5.0,5.0,6.0,20.0,4.0,5.0,4.0,7.0,2.0,5.0,4.0,2.0,5.0,3.0,11.0,3.0,4.0,4.0,4.0,4.0,4.0
garlic,4.0,3.0,4.0,3.0,,3.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,20.0,6.0,3.0,3.0,5.0,17.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,6.0,4.0,6.0,5.0
gherkins,7.0,11.0,14.0,5.0,,7.0,5.0,5.0,5.0,4.0,15.0,7.0,5.0,6.0,20.0,6.0,4.0,5.0,3.0,4.0,9.0,3.0,5.0,6.0,4.0,6.0,4.0,4.0,3.0,12.0
leek,4.0,13.0,6.0,5.0,,6.0,4.0,7.0,5.0,4.0,11.0,2.0,4.0,3.0,6.0,20.0,5.0,2.0,2.0,4.0,5.0,15.0,4.0,4.0,2.0,6.0,4.0,8.0,2.0,11.0
lettuce,5.0,4.0,5.0,4.0,,5.0,5.0,5.0,5.0,3.0,3.0,4.0,7.0,3.0,4.0,5.0,20.0,3.0,7.0,13.0,4.0,6.0,4.0,6.0,15.0,5.0,5.0,2.0,7.0,2.0
mushrooms,3.0,2.0,4.0,1.0,,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,5.0,5.0,2.0,3.0,20.0,2.0,2.0,7.0,2.0,4.0,4.0,4.0,6.0,2.0,2.0,1.0,2.0
onions,6.0,4.0,2.0,5.0,,4.0,4.0,4.0,2.0,4.0,7.0,4.0,5.0,17.0,3.0,2.0,7.0,2.0,20.0,3.0,3.0,4.0,7.0,6.0,4.0,3.0,16.0,3.0,5.0,5.0
parsley,6.0,3.0,3.0,3.0,,4.0,3.0,7.0,15.0,4.0,5.0,2.0,4.0,3.0,4.0,4.0,13.0,2.0,3.0,20.0,4.0,3.0,2.0,4.0,2.0,5.0,2.0,17.0,4.0,3.0
peas,12.0,4.0,16.0,3.0,,4.0,2.0,3.0,5.0,18.0,4.0,4.0,2.0,4.0,9.0,5.0,4.0,7.0,3.0,4.0,20.0,4.0,3.0,6.0,4.0,6.0,2.0,6.0,3.0,4.0
pepper,3.0,2.0,4.0,5.0,,4.0,6.0,7.0,3.0,6.0,4.0,5.0,5.0,4.0,3.0,15.0,6.0,2.0,4.0,3.0,4.0,20.0,8.0,6.0,7.0,4.0,9.0,3.0,4.0,5.0
