exemplar,bestaat in verschillende groottes,bestaat in verschillende soorten,bestaat in verschillende vormen,dient om mee te werken,eventueel geautomatiseerd,gebruikt in de bouw,gemaakt uit hout,gemaakt uit metaal,heeft een handvat,heeft een technische evolutie doorgemaakt,is bedoeld voor de handige harry,is duur,is een goede uitvinding,is een hamer,is een handwerktuig,is een hulpmiddel,is een kraan,is een tractor,is een verzamelnaam,is elektronisch,is er in verschillende materialen,is gereedschap,is groot,is handig,is multifunctioneel,is onmisbaar,je kan er iemand mee verwonden,kan gevaarlijk zijn,maakt lawaai,vergemakkelijkt het werk,werd al gebruikt in de oertijd,wordt bestuurd,wordt gebruikt door een vakman,wordt gebruikt door iedereen,wordt gebruikt om iets te maken,wordt gebruikt om mee te werken,wordt vooral door mannen gebruikt
aambeeld,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1
beitel,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
bijl,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1
boormachine,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1
breekijzer,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1
engelse sleutel,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1
grasmachine,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1
hamer,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1
houtklem,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1
houweel,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1
koevoet,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1
kruiwagen,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1
mes,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0
moersleutel,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1
oliespuit,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1
plamuurmes,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1
ploeg,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1
schaaf,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1
schop,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1
schroevendraaier,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1
slijpschijf,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1
spijker,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1
staalborstel,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1
stofzuiger,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
tang,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1
touw,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1
verfborstel,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1
vijl,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1
waterpas,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
zaag,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1
