exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
hat,1.0,15.0,4.0,1.0,1.0,2.0,15.0,2.0,1.0,2.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0
jeans,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,20.0,1.0,1.0,19.0,2.0,5.0,1.0,1.0,1.0,12.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,17.0
mittens,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,16.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0
panties,8.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0,12.0,2.0,1.0,4.0,1.0,1.0,13.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
pants,10.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,12.0,10.0,1.0,19.0,1.0,12.0,20.0,1.0,8.0,1.0,2.0,1.0,13.0,7.0,2.0,6.0,1.0,1.0,2.0,1.0,16.0
pullover,16.0,1.0,1.0,15.0,2.0,1.0,1.0,12.0,4.0,9.0,1.0,2.0,16.0,2.0,1.0,20.0,5.0,1.0,12.0,1.0,2.0,1.0,2.0,3.0,20.0,12.0,1.0,12.0,8.0
pyjamas,2.0,1.0,1.0,10.0,1.0,1.0,1.0,5.0,5.0,12.0,1.0,5.0,1.0,1.0,8.0,5.0,20.0,1.0,11.0,1.0,1.0,4.0,3.0,15.0,10.0,14.0,1.0,1.0,14.0
scarf,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,20.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,14.0,1.0,1.0
shirt,1.0,1.0,2.0,20.0,1.0,1.0,1.0,10.0,2.0,8.0,1.0,1.0,1.0,1.0,2.0,12.0,11.0,2.0,20.0,1.0,1.0,1.0,1.0,5.0,12.0,3.0,2.0,12.0,10.0
shoes,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0
shorts,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,12.0,1.0,13.0,13.0,2.0,1.0,2.0,1.0,1.0,20.0,6.0,3.0,2.0,1.0,2.0,1.0,1.0,8.0
skirt,1.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,15.0,3.0,1.0,1.0,1.0,4.0,7.0,1.0,4.0,1.0,1.0,1.0,6.0,20.0,1.0,1.0,5.0,1.0,1.0,12.0,1.0
socks,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,9.0,3.0,1.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0
suit,2.0,1.0,2.0,6.0,1.0,3.0,1.0,1.0,16.0,2.0,4.0,4.0,1.0,1.0,6.0,3.0,15.0,1.0,5.0,2.0,2.0,1.0,1.0,20.0,4.0,3.0,4.0,11.0,15.0
sweater,4.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,1.0,12.0,2.0,1.0,5.0,1.0,4.0,20.0,12.0,2.0,7.0,14.0
t-shirt,3.0,1.0,1.0,12.0,1.0,7.0,1.0,10.0,7.0,10.0,1.0,2.0,1.0,1.0,1.0,12.0,14.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,12.0,20.0,2.0,1.0,13.0
tie,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,14.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,20.0,1.0,1.0
top,4.0,1.0,1.0,15.0,1.0,10.0,1.0,5.0,7.0,4.0,1.0,2.0,5.0,1.0,1.0,12.0,1.0,1.0,12.0,1.0,1.0,12.0,1.0,11.0,7.0,1.0,1.0,20.0,10.0
tracksuit,4.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,3.0,2.0,1.0,17.0,1.0,2.0,16.0,8.0,14.0,1.0,10.0,1.0,8.0,1.0,1.0,15.0,14.0,13.0,1.0,10.0,20.0
