exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,1.0,0.3764705882352941,0.3125,0.3264705882352941,0.31470588235294117,0.33235294117647063,0.5058823529411764,0.3,0.3205882352941177,0.26,0.32941176470588235,0.3411764705882353,0.3382352941176471,0.3382352941176471,0.41785714285714287,0.47352941176470587,0.4764705882352941,0.3529411764705882,0.40588235294117647,0.45294117647058824,0.4088235294117647,0.315625,0.2823529411764706,0.315625,0.3264705882352941,0.32941176470588235,0.27647058823529413
banjo,0.3764705882352941,1.0,0.684375,0.5235294117647059,0.2852941176470588,0.4970588235294118,0.3176470588235294,0.30588235294117644,0.25882352941176473,0.35,0.29705882352941176,0.8352941176470589,0.4382352941176471,0.3029411764705882,0.28928571428571426,0.32941176470588235,0.27941176470588236,0.36176470588235293,0.2852941176470588,0.30588235294117644,0.25,0.415625,0.27647058823529413,0.234375,0.2705882352941177,0.26176470588235295,0.45294117647058824
basgitaar,0.3125,0.684375,1.0,0.471875,0.265625,0.659375,0.290625,0.38125,0.284375,0.28214285714285714,0.2625,0.9,0.440625,0.334375,0.3464285714285714,0.28125,0.2875,0.28125,0.303125,0.3375,0.340625,0.3066666666666667,0.24375,0.30333333333333334,0.3,0.3125,0.5
cello,0.3264705882352941,0.5235294117647059,0.471875,1.0,0.28823529411764703,0.6852941176470588,0.27647058823529413,0.2676470588235294,0.3,0.24,0.3529411764705882,0.4794117647058823,0.49411764705882355,0.29705882352941176,0.39642857142857146,0.27941176470588236,0.29117647058823526,0.32941176470588235,0.33235294117647063,0.3264705882352941,0.2852941176470588,0.28125,0.27647058823529413,0.3,0.2823529411764706,0.3029411764705882,0.6735294117647059
cimbalen,0.31470588235294117,0.2852941176470588,0.265625,0.28823529411764703,1.0,0.24117647058823527,0.24705882352941178,0.6058823529411764,0.24411764705882355,0.2633333333333333,0.24705882352941178,0.2735294117647059,0.3088235294117647,0.27941176470588236,0.36428571428571427,0.2676470588235294,0.25588235294117645,0.27647058823529413,0.21176470588235294,0.2705882352941177,0.29117647058823526,0.5875,0.5235294117647059,0.2875,0.44117647058823534,0.27941176470588236,0.24117647058823527
contrabas,0.33235294117647063,0.4970588235294118,0.659375,0.6852941176470588,0.24117647058823527,1.0,0.29411764705882354,0.2705882352941177,0.3029411764705882,0.32333333333333336,0.3205882352941177,0.5470588235294118,0.45,0.33529411764705885,0.37857142857142856,0.2647058823529412,0.27941176470588236,0.27647058823529413,0.2852941176470588,0.34705882352941175,0.2852941176470588,0.29375,0.25882352941176473,0.328125,0.2852941176470588,0.3176470588235294,0.5529411764705883
doedelzak,0.5058823529411764,0.3176470588235294,0.290625,0.27647058823529413,0.24705882352941178,0.29411764705882354,1.0,0.25882352941176473,0.38823529411764707,0.4928571428571429,0.42058823529411765,0.29411764705882354,0.2823529411764706,0.4147058823529412,0.30714285714285716,0.42058823529411765,0.38529411764705884,0.32941176470588235,0.31470588235294117,0.40294117647058825,0.2705882352941177,0.3375,0.2235294117647059,0.403125,0.2735294117647059,0.3823529411764706,0.29117647058823526
drumstel,0.3,0.30588235294117644,0.38125,0.2676470588235294,0.6058823529411764,0.2705882352941177,0.25882352941176473,1.0,0.2323529411764706,0.24666666666666667,0.2705882352941177,0.3205882352941177,0.2323529411764706,0.24411764705882355,0.35714285714285715,0.24411764705882355,0.2647058823529412,0.25882352941176473,0.3235294117647059,0.24705882352941178,0.34411764705882353,0.546875,0.4176470588235294,0.303125,0.8058823529411765,0.2676470588235294,0.2323529411764706
dwarsfluit,0.3205882352941177,0.25882352941176473,0.284375,0.3,0.24411764705882355,0.3029411764705882,0.38823529411764707,0.2323529411764706,1.0,0.5535714285714286,0.7852941176470588,0.2647058823529412,0.2823529411764706,0.6441176470588236,0.3142857142857143,0.5147058823529412,0.33529411764705885,0.7,0.31176470588235294,0.5058823529411764,0.2735294117647059,0.24375,0.2852941176470588,0.515625,0.2676470588235294,0.45,0.33529411764705885
fagot,0.26,0.35,0.28214285714285714,0.24,0.2633333333333333,0.32333333333333336,0.4928571428571429,0.24666666666666667,0.5535714285714286,1.0,0.7233333333333334,0.24666666666666667,0.30333333333333334,0.7566666666666666,0.2875,0.38333333333333336,0.37,0.45,0.27,0.5966666666666667,0.27999999999999997,0.28214285714285714,0.26,0.6038461538461538,0.27666666666666667,0.6066666666666667,0.32857142857142857
fluit,0.32941176470588235,0.29705882352941176,0.2625,0.3529411764705882,0.24705882352941178,0.3205882352941177,0.42058823529411765,0.2705882352941177,0.7852941176470588,0.7233333333333334,1.0,0.2823529411764706,0.32941176470588235,0.6882352941176471,0.2928571428571428,0.4764705882352941,0.3558823529411764,0.7823529411764706,0.31470588235294117,0.4970588235294118,0.28823529411764703,0.3,0.3088235294117647,0.5125,0.25882352941176473,0.5294117647058824,0.2852941176470588
gitaar,0.3411764705882353,0.8352941176470589,0.9,0.4794117647058823,0.2735294117647059,0.5470588235294118,0.29411764705882354,0.3205882352941177,0.2647058823529412,0.24666666666666667,0.2823529411764706,1.0,0.44411764705882356,0.29705882352941176,0.3607142857142857,0.2705882352941177,0.2529411764705882,0.22941176470588234,0.3264705882352941,0.3264705882352941,0.3176470588235294,0.33125,0.25882352941176473,0.3125,0.3029411764705882,0.2823529411764706,0.5323529411764706
harp,0.3382352941176471,0.4382352941176471,0.440625,0.49411764705882355,0.3088235294117647,0.45,0.2823529411764706,0.2323529411764706,0.2823529411764706,0.30333333333333334,0.32941176470588235,0.44411764705882356,1.0,0.3264705882352941,0.49642857142857144,0.3,0.38823529411764707,0.3588235294117647,0.4147058823529412,0.29411764705882354,0.3,0.29375,0.3411764705882353,0.28125,0.25882352941176473,0.25882352941176473,0.47058823529411764
klarinet,0.3382352941176471,0.3029411764705882,0.334375,0.29705882352941176,0.27941176470588236,0.33529411764705885,0.4147058823529412,0.24411764705882355,0.6441176470588236,0.7566666666666666,0.6882352941176471,0.29705882352941176,0.3264705882352941,1.0,0.2928571428571428,0.3764705882352941,0.3235294117647059,0.5235294117647059,0.2823529411764706,0.5882352941176471,0.2529411764705882,0.325,0.2823529411764706,0.55,0.29117647058823526,0.6588235294117647,0.29117647058823526
