exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,3.0,15.0,10.0,1.0,3.0,5.0,10.0,3.0,3.0,7.0,3.0,4.0,,,,,,,
alligator,3.0,20.0,4.0,4.0,17.0,9.0,9.0,3.0,18.0,8.0,3.0,20.0,9.0,,,,,,,
boa,15.0,4.0,20.0,18.0,4.0,6.0,3.0,9.0,6.0,3.0,5.0,4.0,4.0,,,,,,,
cobra,10.0,4.0,18.0,20.0,4.0,5.0,3.0,9.0,8.0,4.0,3.0,4.0,6.0,,,,,,,
dinosaurus,1.0,17.0,4.0,4.0,20.0,6.0,11.0,2.0,14.0,13.0,4.0,13.0,11.0,,,,,,,
gekko,3.0,9.0,6.0,5.0,6.0,20.0,15.0,4.0,6.0,18.0,11.0,9.0,14.0,,,,,,,
hagedis,5.0,9.0,3.0,3.0,11.0,15.0,20.0,5.0,9.0,15.0,10.0,8.0,15.0,,,,,,,
hazelworm,10.0,3.0,9.0,9.0,2.0,4.0,5.0,20.0,5.0,5.0,5.0,3.0,5.0,,,,,,,
kaaiman,3.0,18.0,6.0,8.0,14.0,6.0,9.0,5.0,20.0,10.0,4.0,19.0,16.0,,,,,,,
kameleon,3.0,8.0,3.0,4.0,13.0,18.0,15.0,5.0,10.0,20.0,12.0,11.0,16.0,,,,,,,
kikker,7.0,3.0,5.0,3.0,4.0,11.0,10.0,5.0,4.0,12.0,20.0,2.0,10.0,,,,,,,
krokodil,3.0,20.0,4.0,4.0,13.0,9.0,8.0,3.0,19.0,11.0,2.0,20.0,11.0,,,,,,,
leguaan,4.0,9.0,4.0,6.0,11.0,14.0,15.0,5.0,16.0,16.0,10.0,11.0,20.0,,,,,,,
pad,,,,,,,,,,,,,,20.0,,,,,,
python,,,,,,,,,,,,,,,20.0,,,,,
salamander,,,,,,,,,,,,,,,,20.0,,,,
schildpad,,,,,,,,,,,,,,,,,20.0,,,
slang,,,,,,,,,,,,,,,,,,20.0,,
varaan,,,,,,,,,,,,,,,,,,,20.0,
waterschildpad,,,,,,,,,,,,,,,,,,,,20.0
