exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
bord,1.0,20.0,10.0,15.0,1.0,1.0,20.0,10.0,10.0,1.0,1.0,1.0,20.0,1.0,10.0,1.0,1.0,20.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,20.0,20.0,4.0,20.0,1.0,11.0,1.0,1.0
broodrooster,1.0,10.0,20.0,1.0,15.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0
fles,1.0,15.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fornuis,1.0,1.0,15.0,1.0,20.0,20.0,1.0,15.0,1.0,1.0,15.0,1.0,1.0,18.0,20.0,1.0,1.0,1.0,20.0,20.0,1.0,1.0,10.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0,15.0,1.0,1.0
frigo,2.0,1.0,10.0,1.0,20.0,20.0,1.0,1.0,1.0,1.0,10.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0
glas,1.0,20.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,20.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0
handdoek,1.0,10.0,1.0,1.0,15.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0
ketel,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,15.0,1.0,1.0,20.0
klopper,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,20.0,1.0,20.0,10.0,15.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,10.0
koffiezet,1.0,1.0,1.0,1.0,15.0,10.0,1.0,1.0,1.0,1.0,20.0,1.0,20.0,1.0,15.0,10.0,1.0,1.0,10.0,1.0,15.0,1.0,1.0,1.0,1.0,20.0,15.0,20.0,10.0,20.0,1.0,1.0,15.0
kom,10.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,20.0,1.0,20.0,1.0,1.0,20.0,20.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,20.0,20.0,10.0,1.0,15.0,12.0,1.0,1.0,20.0,15.0
lepel,1.0,20.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,10.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,15.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0
mes,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,12.0,15.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,10.0,15.0,20.0,20.0,20.0,1.0,1.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,15.0
microgolf,1.0,10.0,1.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,15.0,20.0,1.0,1.0,20.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,11.0,15.0,1.0,1.0,1.0
mixer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,20.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,15.0,10.0,4.0,10.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
notenkraker,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,5.0,1.0,20.0,1.0,1.0
onderlegger,1.0,20.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,10.0,15.0,1.0,1.0,1.0,1.0
oven,1.0,1.0,10.0,1.0,20.0,1.0,1.0,15.0,1.0,1.0,10.0,15.0,1.0,10.0,1.0,1.0,1.0,1.0,20.0,20.0,15.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,15.0,18.0,1.0,10.0,1.0
pan,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0
pot,1.0,15.0,1.0,15.0,1.0,10.0,1.0,1.0,15.0,1.0,15.0,1.0,1.0,20.0,1.0,15.0,1.0,1.0,15.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,20.0,15.0,1.0,1.0,1.0,1.0,1.0
rasp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0
schaar,10.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0
schort,1.0,1.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,10.0,1.0,20.0,1.0,1.0,1.0,10.0,1.0,1.0,20.0,15.0,1.0,1.0,10.0,20.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,20.0,1.0
spatel,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,20.0,15.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tas,1.0,20.0,1.0,15.0,1.0,1.0,20.0,1.0,1.0,1.0,20.0,10.0,1.0,1.0,15.0,10.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,10.0,15.0,1.0,1.0,1.0
theelepel,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,15.0,1.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0
vergiet,1.0,4.0,1.0,1.0,2.0,1.0,1.0,10.0,1.0,1.0,20.0,15.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,15.0,1.0,1.0,10.0,1.0,1.0,1.0,20.0,1.0,1.0,10.0,1.0,1.0
vork,1.0,20.0,15.0,1.0,1.0,10.0,1.0,1.0,1.0,20.0,10.0,12.0,20.0,20.0,11.0,1.0,5.0,15.0,15.0,15.0,1.0,5.0,15.0,1.0,1.0,10.0,20.0,1.0,20.0,1.0,1.0,20.0,1.0
waterkoker,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,15.0,1.0,20.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,20.0,1.0,15.0,1.0
weegschaal,1.0,11.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,20.0,1.0,1.0
wok,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,20.0,15.0,1.0,20.0,1.0
zeef,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,15.0,15.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0
