exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,5.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,12.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0
bord,1.0,20.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,19.0,3.0,3.0,2.0,1.0,3.0,6.0,1.0,4.0,12.0,1.0,1.0,1.0,3.0,13.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0
broodrooster,1.0,3.0,20.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,10.0,10.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
fles,10.0,3.0,1.0,20.0,2.0,1.0,12.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,9.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0
fornuis,1.0,1.0,1.0,2.0,20.0,9.0,1.0,1.0,16.0,1.0,10.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0
frigo,1.0,1.0,1.0,1.0,9.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
glas,1.0,3.0,1.0,12.0,1.0,1.0,20.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,3.0,16.0,14.0,4.0,3.0,5.0,1.0,1.0,1.0
handdoek,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
ketel,1.0,2.0,2.0,1.0,16.0,1.0,4.0,1.0,20.0,4.0,10.0,18.0,2.0,1.0,4.0,3.0,4.0,1.0,8.0,1.0,15.0,1.0,1.0,1.0,6.0,3.0,1.0,18.0,2.0,6.0,1.0,8.0,1.0
klopper,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,20.0,1.0,3.0,7.0,5.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,1.0,7.0,1.0,8.0,1.0,1.0,1.0,7.0
koffiezet,1.0,3.0,3.0,3.0,10.0,1.0,3.0,1.0,10.0,1.0,20.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,18.0,1.0,1.0,1.0
kom,1.0,19.0,1.0,7.0,1.0,1.0,1.0,2.0,18.0,3.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,15.0,16.0,1.0,1.0,1.0,3.0,5.0,2.0,16.0,1.0,6.0,10.0,12.0,12.0
lepel,5.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,20.0,18.0,1.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,20.0,3.0,18.0,3.0,9.0,2.0,3.0
