exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,1.0,20.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,20.0,15.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,20.0,1.0,1.0,20.0,10.0,20.0
bottle,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bowl,20.0,1.0,20.0,10.0,15.0,1.0,12.0,20.0,1.0,1.0,1.0,1.0,20.0,20.0,10.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,20.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0
can opener,1.0,1.0,10.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
colander,10.0,1.0,15.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,4.0,15.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,10.0,1.0,1.0
electric kettle,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,15.0,1.0,15.0,1.0,15.0,1.0,18.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0
fork,1.0,1.0,12.0,1.0,1.0,1.0,20.0,10.0,1.0,5.0,1.0,20.0,11.0,1.0,10.0,5.0,15.0,15.0,10.0,15.0,20.0,1.0,1.0,15.0,1.0,1.0,20.0,1.0,20.0,15.0,1.0,20.0,20.0
fridge,1.0,1.0,20.0,2.0,1.0,1.0,10.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,10.0,1.0,1.0,1.0,20.0,1.0,10.0,1.0,1.0,1.0
glass,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
grater,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,20.0,1.0,20.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kettle,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,20.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,15.0,1.0,1.0,20.0,1.0,1.0,1.0,20.0,1.0,1.0,10.0,1.0
knife,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,20.0,12.0,20.0,1.0,1.0,1.0,1.0,10.0,15.0,1.0,1.0,1.0,20.0,1.0,20.0,15.0,1.0,1.0,18.0,20.0,1.0,1.0,15.0,1.0
microwave oven,1.0,1.0,20.0,1.0,1.0,15.0,11.0,1.0,20.0,1.0,1.0,1.0,20.0,1.0,15.0,1.0,1.0,1.0,15.0,11.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0
mixer,10.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,20.0,10.0,1.0,1.0,1.0,10.0,1.0,1.0,15.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0
mug,1.0,15.0,10.0,1.0,1.0,15.0,10.0,1.0,20.0,1.0,1.0,1.0,15.0,10.0,20.0,1.0,1.0,1.0,20.0,15.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nutcracker,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oven,20.0,1.0,15.0,1.0,1.0,18.0,15.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,20.0,20.0,10.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,10.0,15.0,1.0,10.0
