exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,15.0,12.0,7.0,4.0,12.0,13.0,5.0,5.0,11.0,11.0,12.0,6.0,9.0,8.0,11.0,12.0,11.0,5.0,8.0,14.0,11.0,11.0,15.0,5.0,7.0,11.0,3.0,6.0,12.0
canary,15.0,20.0,13.0,7.0,12.0,13.0,10.0,9.0,8.0,8.0,5.0,9.0,10.0,11.0,16.0,6.0,7.0,11.0,8.0,7.0,13.0,14.0,9.0,14.0,10.0,10.0,6.0,12.0,11.0,12.0
chickadee,12.0,13.0,20.0,7.0,9.0,11.0,8.0,8.0,8.0,12.0,9.0,14.0,5.0,8.0,17.0,12.0,7.0,13.0,11.0,12.0,15.0,12.0,13.0,16.0,8.0,9.0,12.0,11.0,6.0,14.0
chicken,7.0,7.0,7.0,20.0,10.0,12.0,10.0,12.0,5.0,11.0,7.0,9.0,5.0,4.0,4.0,8.0,15.0,11.0,4.0,16.0,10.0,15.0,4.0,7.0,12.0,6.0,9.0,18.0,4.0,5.0
crow,4.0,12.0,9.0,10.0,20.0,10.0,12.0,7.0,15.0,14.0,14.0,18.0,15.0,11.0,9.0,8.0,11.0,8.0,8.0,13.0,7.0,5.0,12.0,9.0,7.0,11.0,8.0,12.0,12.0,15.0
cuckoo,12.0,13.0,11.0,12.0,10.0,20.0,12.0,11.0,2.0,13.0,4.0,4.0,10.0,10.0,8.0,12.0,5.0,12.0,3.0,16.0,16.0,10.0,11.0,5.0,7.0,10.0,5.0,7.0,9.0,5.0
dove,13.0,10.0,8.0,10.0,12.0,12.0,20.0,12.0,14.0,15.0,11.0,13.0,14.0,16.0,10.0,15.0,9.0,9.0,11.0,12.0,10.0,9.0,13.0,8.0,10.0,7.0,14.0,7.0,12.0,12.0
duck,5.0,9.0,8.0,12.0,7.0,11.0,12.0,20.0,8.0,9.0,12.0,8.0,11.0,10.0,7.0,10.0,7.0,12.0,8.0,11.0,9.0,12.0,6.0,9.0,6.0,15.0,17.0,14.0,4.0,5.0
eagle,5.0,8.0,8.0,5.0,15.0,2.0,14.0,8.0,20.0,18.0,15.0,11.0,11.0,15.0,10.0,11.0,7.0,11.0,7.0,12.0,9.0,4.0,11.0,8.0,11.0,10.0,11.0,9.0,18.0,12.0
falcon,11.0,8.0,12.0,11.0,14.0,13.0,15.0,9.0,18.0,20.0,18.0,9.0,11.0,11.0,10.0,6.0,9.0,12.0,7.0,15.0,9.0,10.0,8.0,10.0,10.0,12.0,14.0,6.0,16.0,9.0
heron,11.0,5.0,9.0,7.0,14.0,4.0,11.0,12.0,15.0,18.0,20.0,11.0,11.0,7.0,8.0,12.0,15.0,15.0,8.0,14.0,6.0,9.0,14.0,8.0,18.0,15.0,11.0,4.0,18.0,11.0
magpie,12.0,9.0,14.0,9.0,18.0,4.0,13.0,8.0,11.0,9.0,11.0,20.0,14.0,11.0,9.0,14.0,12.0,7.0,2.0,11.0,5.0,9.0,14.0,11.0,10.0,11.0,11.0,5.0,15.0,15.0
ostrich,6.0,10.0,5.0,5.0,15.0,10.0,14.0,11.0,11.0,11.0,11.0,14.0,20.0,9.0,7.0,10.0,8.0,10.0,4.0,12.0,9.0,9.0,12.0,8.0,10.0,10.0,10.0,10.0,10.0,3.0
owl,9.0,11.0,8.0,4.0,11.0,10.0,16.0,10.0,15.0,11.0,7.0,11.0,9.0,20.0,10.0,8.0,11.0,11.0,10.0,12.0,10.0,8.0,9.0,9.0,10.0,12.0,11.0,11.0,13.0,11.0
parakeet,8.0,16.0,17.0,4.0,9.0,8.0,10.0,7.0,10.0,10.0,8.0,9.0,7.0,10.0,20.0,13.0,10.0,7.0,6.0,10.0,12.0,8.0,12.0,11.0,5.0,8.0,10.0,6.0,10.0,12.0
parrot,11.0,6.0,12.0,8.0,8.0,12.0,15.0,10.0,11.0,6.0,12.0,14.0,10.0,8.0,13.0,20.0,9.0,13.0,9.0,11.0,11.0,10.0,11.0,10.0,12.0,12.0,8.0,9.0,7.0,12.0
peacock,12.0,7.0,7.0,15.0,11.0,5.0,9.0,7.0,7.0,9.0,15.0,12.0,8.0,11.0,10.0,9.0,20.0,13.0,7.0,7.0,8.0,4.0,9.0,7.0,10.0,12.0,12.0,7.0,10.0,12.0
pelican,11.0,11.0,13.0,11.0,8.0,12.0,9.0,12.0,11.0,12.0,15.0,7.0,10.0,11.0,7.0,13.0,13.0,20.0,10.0,13.0,10.0,7.0,12.0,10.0,5.0,11.0,14.0,13.0,14.0,8.0
penguin,5.0,8.0,11.0,4.0,8.0,3.0,11.0,8.0,7.0,7.0,8.0,2.0,4.0,10.0,6.0,9.0,7.0,10.0,20.0,6.0,6.0,6.0,8.0,9.0,11.0,11.0,9.0,7.0,9.0,10.0
pheasant,8.0,7.0,12.0,16.0,13.0,16.0,12.0,11.0,12.0,15.0,14.0,11.0,12.0,12.0,10.0,11.0,7.0,13.0,6.0,20.0,11.0,9.0,9.0,3.0,6.0,12.0,15.0,17.0,11.0,12.0
robin,14.0,13.0,15.0,10.0,7.0,16.0,10.0,9.0,9.0,9.0,6.0,5.0,9.0,10.0,12.0,11.0,8.0,10.0,6.0,11.0,20.0,14.0,11.0,13.0,4.0,8.0,10.0,7.0,11.0,8.0
rooster,11.0,14.0,12.0,15.0,5.0,10.0,9.0,12.0,4.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,4.0,7.0,6.0,9.0,14.0,20.0,8.0,8.0,9.0,16.0,5.0,11.0,10.0,10.0
seagull,11.0,9.0,13.0,4.0,12.0,11.0,13.0,6.0,11.0,8.0,14.0,14.0,12.0,9.0,12.0,11.0,9.0,12.0,8.0,9.0,11.0,8.0,20.0,10.0,9.0,15.0,14.0,10.0,13.0,13.0
sparrow,15.0,14.0,16.0,7.0,9.0,5.0,8.0,9.0,8.0,10.0,8.0,11.0,8.0,9.0,11.0,10.0,7.0,10.0,9.0,3.0,13.0,8.0,10.0,20.0,3.0,6.0,10.0,9.0,9.0,8.0
stork,5.0,10.0,8.0,12.0,7.0,7.0,10.0,6.0,11.0,10.0,18.0,10.0,10.0,10.0,5.0,12.0,10.0,5.0,11.0,6.0,4.0,9.0,9.0,3.0,20.0,10.0,16.0,9.0,13.0,10.0
swallow,7.0,10.0,9.0,6.0,11.0,10.0,7.0,15.0,10.0,12.0,15.0,11.0,10.0,12.0,8.0,12.0,12.0,11.0,11.0,12.0,8.0,16.0,15.0,6.0,10.0,20.0,15.0,15.0,10.0,11.0
